3bkl,CHEMBL451209,C[C@H](CS)C(=O)N[C@@H](CSCc1ccccc1)C(=O)O,7.468521083
3bkl,CHEMBL444474,C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(Cl)cc1)C(=O)O,6.602059991
3bkl,CHEMBL456044,C[C@H](CS)C(=O)N[C@@H](CSC(c1ccccc1)c2ccc(cc2)C3CCCCC3)C(=O)O,4
3bkl,CHEMBL456045,C[C@H](CS)C(=O)N[C@@H](CSC(C)(C)c1ccc(cc1)C2CCCCC2)C(=O)O,5.522878745
3bkl,CHEMBL456278,C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(cc1)[N+](=O)[O-])C(=O)O,6.494850022
3bkl,CHEMBL456723,CC(C)c1ccc(cc1)C(C)(C)SC[C@H](NC(=O)[C@H](C)CS)C(=O)O,6.585026652
3bkl,CHEMBL457317,C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(cc1)N(C)C)C(=O)O,6.283996656
3bkl,CHEMBL457571,CCOc1ccc(CSC[C@H](NC(=O)[C@H](C)CS)C(=O)O)cc1,6.468521083
3bkl,CHEMBL457795,CCN(CC)c1ccc(CSC[C@H](NC(=O)[C@H](C)CS)C(=O)O)cc1,5.337242168
3bkl,CHEMBL457796,C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(cc1)C#N)C(=O)O,6.522878745
3bkl,CHEMBL458237,C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(cc1)S(=O)(=O)C)C(=O)O,6.522878745
3bkl,CHEMBL458238,CC(C)c1ccc(cc1)C(C)SC[C@H](NC(=O)[C@H](C)CS)C(=O)O,6.698970004
3bkl,CHEMBL458447,CCC(SC[C@H](NC(=O)[C@H](C)CS)C(=O)O)c1ccc(cc1)C(C)C,6.468521083
3bkl,CHEMBL458450,CCCC(SC[C@H](NC(=O)[C@H](C)CS)C(=O)O)c1ccc(cc1)C(C)C,6.37675071
3bkl,CHEMBL458451,CC(C)C(SC[C@H](NC(=O)[C@H](C)CS)C(=O)O)c1ccc(cc1)C(C)C,6.366531544
3bkl,CHEMBL459959,C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(I)cc1)C(=O)O,6.853871964
3bkl,CHEMBL459960,C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(C)cc1)C(=O)O,6.619788758
3bkl,CHEMBL459961,C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(cc1)C(F)(F)F)C(=O)O,6.468521083
3bkl,CHEMBL461021,CCCc1ccc(CSC[C@H](NC(=O)[C@H](C)CS)C(=O)O)cc1,6.677780705
3bkl,CHEMBL461022,CC(C)c1ccc(CSC[C@H](NC(=O)[C@H](C)CS)C(=O)O)cc1,6.522878745
3bkl,CHEMBL463320,C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(cc1)C(C)(C)C)C(=O)O,6.886056648
3bkl,CHEMBL463520,C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(cc1)c2ccccc2)C(=O)O,6.552841969
3bkl,CHEMBL467755,C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(F)cc1)C(=O)O,7
3bkl,CHEMBL505067,CCCCC(SC[C@H](NC(=O)[C@H](C)CS)C(=O)O)c1ccc(cc1)C(C)C,5.443697499
3bkl,CHEMBL511184,CCc1ccc(CSC[C@H](NC(=O)[C@H](C)CS)C(=O)O)cc1,7.677780705
3bkl,CHEMBL511339,CC(C)c1ccc(CSC(C)(C)[C@H](NC(=O)[C@H](C)CS)C(=O)O)cc1,4
3bkl,CHEMBL511344,COc1ccc(CSC[C@H](NC(=O)[C@H](C)CS)C(=O)O)cc1,7
3bkl,CHEMBL511849,CSc1ccc(CSC[C@H](NC(=O)[C@H](C)CS)C(=O)O)cc1,6.522878745
3bkl,CHEMBL512941,C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(cc1)C2CCCCC2)C(=O)O,5.397940009
3bkl,CHEMBL513671,C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(Br)cc1)C(=O)O,6.552841969
3bkl,CHEMBL514268,C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(Oc2ccccc2)cc1)C(=O)O,6.431798276
3bkl,CHEMBL515834,C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(OC(F)(F)F)cc1)C(=O)O,6.585026652
3bkl,CHEMBL516325,CC(C)c1ccc(cc1)C(SC[C@H](NC(=O)[C@H](C)CS)C(=O)O)c2ccccc2,5.769551079
3bkl,CHEMBL78489,CC(CS)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,5.970023093
3bkl,CHEMBL78953,C[C@@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,3.999999986
3bkl,CHEMBL78971,CC[C@@H](C)[C@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,3.03
3bkl,CHEMBL39538,C[C@H](NC(CCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O,8.920095532
3bkl,CHEMBL1237,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O,8.920095532
3bkl,CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,5.629987457
3bkl,CHEMBL309308,NCCC[C@H](NC(CCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O,8.659952682
3bkl,CHEMBL309601,C[C@H](NP(=O)(O)CCc1ccccc1)C(=O)N2CCC[C@H]2C(=O)O,8.150028088
3bkl,CHEMBL309798,OC(=O)[C@@H]1CCCN1C(=O)CP(=O)(O)C(CCc2ccccc2)NC(=O)c3ccccc3,7.140021558
3bkl,CHEMBL309941,C[C@H](CC(=O)[C@@H](Cc1ccccc1)NC(=O)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)O,8.519993057
3bkl,CHEMBL311268,C[C@H](NC(CCCNC(=O)OCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O,8.540004744
3bkl,CHEMBL312224,OC(=O)C(CCc1ccccc1)NC2CCC[C@H]3SC[C@H](N3C2=O)C(=O)O,9.219970873
3bkl,CHEMBL312431,C[C@H](NC(C1CCCN1C(=O)c2ccccc2)C(=O)O)C(=O)N3CCC[C@H]3C(=O)O,8.540004744
3bkl,CHEMBL36503,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N2CCC[C@H]2C(=O)O,7.439973751
3bkl,CHEMBL414828,C[C@H](N)C(=O)N1CCC[C@H]1C(=O)O,3.639999991
3bkl,CHEMBL435360,OC(=O)[C@@H]1CCCN1C(=O)CCC(=O)[C@H](Cc2ccccc2)NC(=O)c3ccccc3,7.920095532
3bkl,CHEMBL65423,C[C@H](NCC(=O)O)C(=O)N1CCC[C@H]1C(=O)O,5.620000528
3bkl,CHEMBL76577,C[C@@H](CS)C(=O)N1CCC[C@@H]1C(=O)O,4.960000078
3bkl,CHEMBL77446,OC(=O)C(CCc1ccccc1)N[C@H]2CCN3CCC[C@H](N3C2=O)C(=O)O,7.250031916
3bkl,CHEMBL77556,C[C@@H](NC(=O)C(S)Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)O,7.299988938
3bkl,CHEMBL78340,CC(C)CCC(N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O)C(=O)O,8.590066877
3bkl,CHEMBL78341,C[C@H](NC(CCc1ccccc1)C(=O)O)C(=O)N(CC(=O)O)C2Cc3ccccc3C2,7.400007822
3bkl,CHEMBL78346,C[C@H](NC(CCc1ccccc1)C(=O)O)C(=O)N2CC3CCCCC3[C@H]2C(=O)O,8.659952682
3bkl,CHEMBL78385,COP(=O)(O)C(CCc1ccccc1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O,6.359995853
3bkl,CHEMBL78443,C[C@H](NP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)O,6.109998387
3bkl,CHEMBL78726,C[C@H](NC(CCc1ccc(O)cc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O,8.550059011
3bkl,CHEMBL78731,C[C@H](NC(CCC(=O)Nc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O,8.280006174
3bkl,CHEMBL78780,C[C@H](CCC(=O)O)C(=O)N1CCC[C@H]1C(=O)O,5.30999984
3bkl,CHEMBL78805,C[C@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)O,4.989999997
3bkl,CHEMBL78996,CC(NC(=O)OCc1ccccc1)C(=O)N[C@H](CCC(=O)N2CCC[C@H]2C(=O)O)C(=O)O,6.40999458
3bkl,CHEMBL79016,C[C@H](NC(=O)CCS)C(=O)N1CCC[C@H]1C(=O)O,5.589999287
3bkl,CHEMBL79131,C[C@H](NP(=O)(O)OCc1ccccc1)C(=O)N2CCC[C@H]2C(=O)O,7.389978975
3bkl,CHEMBL79212,C[C@H](NC(CCN)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,6.490004908
3bkl,CHEMBL80147,C[C@H](NCCCc1ccccc1)C(=O)N2CCC[C@H]2C(=O)O,5.239999953
3bkl,CHEMBL80193,C[C@H](NC(CCc1ccccc1)C(=O)N)C(=O)N2CCC[C@H]2C(=O)O,4.589999963
3bkl,CHEMBL80503,OC(=O)[C@@H](CCC(=O)N1CCC[C@H]1C(=O)O)NC(=O)C2CCCN2C(=O)OCc3ccccc3,5.599999383
3bkl,CHEMBL80646,C[C@H](NC(CCc1ccccc1)P(=O)(O)O)C(=O)N2CCC[C@H]2C(=O)O,7.289967301
3bkl,CHEMBL80665,C[C@H](NC(CCC(=O)Nc1ccc(I)cc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O,9.639974911
3bkl,CHEMBL80779,C[C@H](NC(CCc1cccc2ccccc12)C(=O)O)C(=O)N3CCC[C@H]3C(=O)O,8.960189446
3bkl,CHEMBL284734,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N2[C@@H](Cc3ccccc23)C(=O)O,9.530030791
3bkl,CHEMBL284272,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N2C[C@@H](C[C@H]2C(=O)O)c3ccccc3,6.470005327
3bkl,CHEMBL284345,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N(CC(=O)O)c2ccccc2,8.969805215
3bkl,CHEMBL284843,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N2C[C@@H](Cc3ccccc3)C[C@H]2C(=O)O,9.049976093
3bkl,CHEMBL285935,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N(CC(=O)O)C2CCCCC2,9.530030791
3bkl,CHEMBL286339,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N2C[C@H](C[C@H]2C(=O)O)C3CCCCC3,9.309981219
3bkl,CHEMBL287518,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N2C[C@@H](C[C@H]2C(=O)O)C3CCCCC3,8.489991487
3bkl,CHEMBL289022,CS[C@@H]1C[C@H](N(C1)C(=O)[C@H](CCCCN)OP(=O)(O)CCCCc2ccccc2)C(=O)O,9.280006174
3bkl,CHEMBL310624,NCCCCC(NC(=O)OCc1ccccc1)C(=O)N[C@H](CCC(=O)N2[C@@H](Cc3ccccc23)C(=O)O)C(=O)O,5.599999383
3bkl,CHEMBL33025,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N2C[C@H](O)C[C@H]2C(=O)O,9.059981845
3bkl,CHEMBL34650,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N2CC3(C[C@H]2C(=O)O)SCCS3,9.199970641
3bkl,CHEMBL34832,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N2C[C@H](C[C@H]2C(=O)O)Sc3ccccc3,9.280006174
3bkl,CHEMBL35309,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N2C[C@H](C[C@H]2C(=O)O)c3ccccc3,9.88008459
3bkl,CHEMBL35419,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N2C[C@@H](O)C[C@H]2C(=O)O,7.799970733
3bkl,CHEMBL35561,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N(CC(=O)O)c2ccc3OCOc3c2,9.940058112
3bkl,CHEMBL35682,COc1ccc(cc1OC)N(CC(=O)O)C(=O)[C@H](CCCCN)OP(=O)(O)CCCCc2ccccc2,9.540004744
3bkl,CHEMBL419649,C[C@H](CC(CCc1ccccc1)C(=O)O)C(=O)N2[C@@H](Cc3ccccc23)C(=O)O,8.320027306
3bkl,CHEMBL431707,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N2C[C@@H](C[C@H]2C(=O)O)Sc3ccccc3,9.110026362
3bkl,CHEMBL433442,CS[C@H]1C[C@H](N(C1)C(=O)[C@H](CCCCN)OP(=O)(O)CCCCc2ccccc2)C(=O)O,8.72010502
3bkl,CHEMBL445561,CSC1(C[C@H](N(C1)C(=O)[C@H](CCCCN)OP(=O)(O)CCCCc2ccccc2)C(=O)O)SC,8.590066877
3bkl,CHEMBL412666,NC(CS)C(=O)N1CCC[C@H]1C(=O)O,7.199970641
3bkl,CHEMBL10962,OC(=O)[C@@H]1CCCN1C(=O)CCS,5.734995854
3bkl,CHEMBL1807684,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)O,3.889999984
3bkl,CHEMBL263556,OC(=O)[C@@H]1CCCN1C(=O)CP(=O)(O)O,5.07999988
3bkl,CHEMBL305938,OC(=O)[C@H]1CCCN1C(=O)CCS,2.74
3bkl,CHEMBL310578,OC(=O)CCC(=O)N1CCC[C@H]1C(=O)O,4.480000028
3bkl,CHEMBL312550,OC(=O)[C@@H]1CCCN1C(=O)CCP(=O)(O)O,4.319999993
3bkl,CHEMBL431983,OC(=O)[C@@H]1CCCN1C(=O)C2CCCC2S,7.189969214
3bkl,CHEMBL439762,CC(C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)O,3.380000004
3bkl,CHEMBL78435,OC(=O)[C@@H]1CCCN1C(=O)C2CCC2S,7.309981219
3bkl,CHEMBL80548,NCC(=O)N1CCC[C@H]1C(=O)O,3.350000002
3bkl,CHEMBL312094,OC(=O)[C@H](Cc1ccccc1)NC(=O)CCS,6.36999951
3bkl,CHEMBL299889,NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O,3.219999997
3bkl,CHEMBL309333,OC(=O)[C@H](CS)NC(=O)CCS,4.169999984
3bkl,CHEMBL311064,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCS,3.67000009
3bkl,CHEMBL311239,OC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CCS,3.639999991
3bkl,CHEMBL312120,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CS,6.119998612
3bkl,CHEMBL78440,C[C@H](NC(=O)CCS)C(=O)O,6.069998999
3bkl,CHEMBL80101,OC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)O,3.260000003
3bkl,CHEMBL80657,CN([C@@H](Cc1ccccc1)C(=O)O)C(=O)CCS,4.510000061
3bkl,CHEMBL80667,OC(=O)C(Cc1ccccc1)OC(=O)CCS,6.149997414
3bkl,CHEMBL420391,NCCCCC(NC(=O)OCc1ccccc1)C(=O)N[C@H](CCC(=O)N2CCC[C@H]2C(=O)O)C(=O)O,7.920095532
3bkl,CHEMBL310139,N[C@@H](Cc1ccccc1)C(=O)N[C@H](CCC(=O)N2[C@H]3CCCC[C@H]3C[C@H]2C(=O)O)C(=O)O,6.659992382
3bkl,CHEMBL310869,NC(Cc1ccccc1)C(=O)N[C@H](CCC(=O)N2[C@H]3CCCC[C@H]3C[C@H]2C(=O)O)C(=O)O,7
3bkl,CHEMBL311757,NCCCCC(NC(=O)OCc1ccccc1)C(=O)N[C@H](CCC(=O)N2[C@H]3CCCC[C@H]3C[C@H]2C(=O)O)C(=O)O,8.460046158
3bkl,CHEMBL430630,NCCCCC(N)C(=O)N[C@H](CCC(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O)C(=O)O,7.920095532
3bkl,CHEMBL78353,OC(=O)[C@@H](CCC(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O)NC(=O)C3CCCN3C(=O)OCc4ccccc4,7.819874125
3bkl,CHEMBL78629,OC(=O)[C@@H](CCC(=O)N1[C@@H](Cc2ccccc12)C(=O)O)NC(=O)C(Cc3ccccc3)NC(=O)OCc4ccccc4,9.599980365
